"Step","golden-pyramid-593 - avg_actions_taken_per_successful_game","golden-pyramid-593 - avg_actions_taken_per_successful_game__MIN","golden-pyramid-593 - avg_actions_taken_per_successful_game__MAX"
"1","11","11","11"
"2","12","12","12"
"3","11.333333333333334","11.333333333333334","11.333333333333334"
"4","9.75","9.75","9.75"
"5","12.6","12.6","12.6"
"6","16.833333333333332","16.833333333333332","16.833333333333332"
"7","18.428571428571427","18.428571428571427","18.428571428571427"
"8","17","17","17"
"9","16.11111111111111","16.11111111111111","16.11111111111111"
"10","16.11111111111111","16.11111111111111","16.11111111111111"
"11","15.3","15.3","15.3"
"12","18","18","18"
"13","17.583333333333332","17.583333333333332","17.583333333333332"
"14","16.615384615384617","16.615384615384617","16.615384615384617"
"15","16.428571428571427","16.428571428571427","16.428571428571427"
"16","16.133333333333333","16.133333333333333","16.133333333333333"
"17","17.375","17.375","17.375"
"18","16.88235294117647","16.88235294117647","16.88235294117647"
"19","17","17","17"
"20","16.473684210526315","16.473684210526315","16.473684210526315"
"21","16.7","16.7","16.7"
"22","16.38095238095238","16.38095238095238","16.38095238095238"
"23","16.545454545454547","16.545454545454547","16.545454545454547"
"24","16.08695652173913","16.08695652173913","16.08695652173913"
"25","16.5","16.5","16.5"
"26","17.12","17.12","17.12"
"27","17.576923076923077","17.576923076923077","17.576923076923077"
"28","17.074074074074073","17.074074074074073","17.074074074074073"
"29","17.074074074074073","17.074074074074073","17.074074074074073"
"30","17.035714285714285","17.035714285714285","17.035714285714285"
"31","16.75862068965517","16.75862068965517","16.75862068965517"
"32","17.6","17.6","17.6"
"33","17.322580645161292","17.322580645161292","17.322580645161292"
"34","17.46875","17.46875","17.46875"
"35","17.46875","17.46875","17.46875"
"36","17.09090909090909","17.09090909090909","17.09090909090909"
"37","17.147058823529413","17.147058823529413","17.147058823529413"
"38","17.285714285714285","17.285714285714285","17.285714285714285"
"39","17.02777777777778","17.02777777777778","17.02777777777778"
"40","17.08108108108108","17.08108108108108","17.08108108108108"
"41","16.842105263157894","16.842105263157894","16.842105263157894"
"42","16.512820512820515","16.512820512820515","16.512820512820515"
"43","16.35","16.35","16.35"
"44","16.78048780487805","16.78048780487805","16.78048780487805"
"45","16.571428571428573","16.571428571428573","16.571428571428573"
"46","16.86046511627907","16.86046511627907","16.86046511627907"
"47","16.704545454545453","16.704545454545453","16.704545454545453"
"48","16.57777777777778","16.57777777777778","16.57777777777778"
"49","16.630434782608695","16.630434782608695","16.630434782608695"
"50","16.51063829787234","16.51063829787234","16.51063829787234"
"51","16.333333333333332","16.333333333333332","16.333333333333332"
"52","16.333333333333332","16.333333333333332","16.333333333333332"
"53","16.102040816326532","16.102040816326532","16.102040816326532"
"54","15.9","15.9","15.9"
"55","15.784313725490197","15.784313725490197","15.784313725490197"
"56","15.73076923076923","15.73076923076923","15.73076923076923"
"57","15.73076923076923","15.73076923076923","15.73076923076923"
"58","15.79245283018868","15.79245283018868","15.79245283018868"
"59","16","16","16"
"60","16.236363636363638","16.236363636363638","16.236363636363638"
"61","16.214285714285715","16.214285714285715","16.214285714285715"
"62","16.087719298245613","16.087719298245613","16.087719298245613"
"63","16.103448275862068","16.103448275862068","16.103448275862068"
"64","15.915254237288135","15.915254237288135","15.915254237288135"
"65","15.8","15.8","15.8"
"66","15.62295081967213","15.62295081967213","15.62295081967213"
"67","15.64516129032258","15.64516129032258","15.64516129032258"
"68","15.682539682539682","15.682539682539682","15.682539682539682"
"69","15.682539682539682","15.682539682539682","15.682539682539682"
"70","15.734375","15.734375","15.734375"
"71","15.676923076923076","15.676923076923076","15.676923076923076"
"72","15.575757575757576","15.575757575757576","15.575757575757576"
"73","15.402985074626866","15.402985074626866","15.402985074626866"
"74","15.308823529411764","15.308823529411764","15.308823529411764"
"75","15.44927536231884","15.44927536231884","15.44927536231884"
"76","15.357142857142858","15.357142857142858","15.357142857142858"
"77","15.357142857142858","15.357142857142858","15.357142857142858"
"78","15.19718309859155","15.19718309859155","15.19718309859155"
"79","15.19718309859155","15.19718309859155","15.19718309859155"
"80","15.527777777777779","15.527777777777779","15.527777777777779"
"81","15.493150684931507","15.493150684931507","15.493150684931507"
"82","15.41891891891892","15.41891891891892","15.41891891891892"
"83","15.52","15.52","15.52"
"84","15.736842105263158","15.736842105263158","15.736842105263158"
"85","15.7012987012987","15.7012987012987","15.7012987012987"
"86","15.7012987012987","15.7012987012987","15.7012987012987"
"87","15.935897435897436","15.935897435897436","15.935897435897436"
"88","15.79746835443038","15.79746835443038","15.79746835443038"
"89","15.7625","15.7625","15.7625"
