"Step","golden-pyramid-593 - avg_actions_taken_per_successful_game","golden-pyramid-593 - avg_actions_taken_per_successful_game__MIN","golden-pyramid-593 - avg_actions_taken_per_successful_game__MAX"
"107","15.989473684210527","15.989473684210527","15.989473684210527"
"108","15.875","15.875","15.875"
"109","15.875","15.875","15.875"
"110","16.010309278350515","16.010309278350515","16.010309278350515"
"111","16.040816326530614","16.040816326530614","16.040816326530614"
"112","16.08080808080808","16.08080808080808","16.08080808080808"
"113","16.02","16.02","16.02"
"114","16.019801980198018","16.019801980198018","16.019801980198018"
"115","16.00980392156863","16.00980392156863","16.00980392156863"
"116","16.097087378640776","16.097087378640776","16.097087378640776"
"117","15.98076923076923","15.98076923076923","15.98076923076923"
"118","16.323809523809523","16.323809523809523","16.323809523809523"
"119","16.21698113207547","16.21698113207547","16.21698113207547"
"120","16.289719626168225","16.289719626168225","16.289719626168225"
"121","16.289719626168225","16.289719626168225","16.289719626168225"
"122","16.36111111111111","16.36111111111111","16.36111111111111"
"123","16.36111111111111","16.36111111111111","16.36111111111111"
"124","16.36111111111111","16.36111111111111","16.36111111111111"
"125","16.36111111111111","16.36111111111111","16.36111111111111"
"126","16.30275229357798","16.30275229357798","16.30275229357798"
"127","16.318181818181817","16.318181818181817","16.318181818181817"
"128","16.28828828828829","16.28828828828829","16.28828828828829"
"129","16.178571428571427","16.178571428571427","16.178571428571427"
"130","16.07079646017699","16.07079646017699","16.07079646017699"
"131","15.964912280701755","15.964912280701755","15.964912280701755"
"132","15.982608695652173","15.982608695652173","15.982608695652173"
"133","15.887931034482758","15.887931034482758","15.887931034482758"
"134","15.88034188034188","15.88034188034188","15.88034188034188"
"135","15.805084745762711","15.805084745762711","15.805084745762711"
"136","15.798319327731093","15.798319327731093","15.798319327731093"
"137","15.858333333333333","15.858333333333333","15.858333333333333"
"138","15.760330578512397","15.760330578512397","15.760330578512397"
"139","15.760330578512397","15.760330578512397","15.760330578512397"
