"game_no","golden-pyramid-593 - runtime","golden-pyramid-593 - runtime__MIN","golden-pyramid-593 - runtime__MAX","golden-pyramid-593 - _step","golden-pyramid-593 - _step__MIN","golden-pyramid-593 - _step__MAX"
"101","316.1685059070587","316.1685059070587","316.1685059070587","101","101","101"
"102","1818.7768487930298","1818.7768487930298","1818.7768487930298","102","102","102"
"103","764.2434420585632","764.2434420585632","764.2434420585632","103","103","103"
"104","623.7815608978271","623.7815608978271","623.7815608978271","104","104","104"
"105","227.97100853919983","227.97100853919983","227.97100853919983","105","105","105"
"106","210.6833233833313","210.6833233833313","210.6833233833313","106","106","106"
"107","5648.409070491791","5648.409070491791","5648.409070491791","107","107","107"
"108","170.67631363868713","170.67631363868713","170.67631363868713","108","108","108"
"109","3816.4422578811646","3816.4422578811646","3816.4422578811646","109","109","109"
"110","943.6758100986481","943.6758100986481","943.6758100986481","110","110","110"
"111","541.0124502182007","541.0124502182007","541.0124502182007","111","111","111"
"112","772.1663715839386","772.1663715839386","772.1663715839386","112","112","112"
"113","236.628915309906","236.628915309906","236.628915309906","113","113","113"
"114","475.47858023643494","475.47858023643494","475.47858023643494","114","114","114"
"115","476.997927904129","476.997927904129","476.997927904129","115","115","115"
"116","723.6647391319275","723.6647391319275","723.6647391319275","116","116","116"
"117","131.5729784965515","131.5729784965515","131.5729784965515","117","117","117"
"118","2107.487644433975","2107.487644433975","2107.487644433975","118","118","118"
"119","140.98843622207642","140.98843622207642","140.98843622207642","119","119","119"
"120","776.1970992088318","776.1970992088318","776.1970992088318","120","120","120"
"121","4154.430269479752","4154.430269479752","4154.430269479752","121","121","121"
"122","596.2424795627594","596.2424795627594","596.2424795627594","122","122","122"
"123","6109.006141424179","6109.006141424179","6109.006141424179","123","123","123"
"124","5343.11674451828","5343.11674451828","5343.11674451828","124","124","124"
"125","4493.7479927539825","4493.7479927539825","4493.7479927539825","125","125","125"
"126","269.4193665981293","269.4193665981293","269.4193665981293","126","126","126"
"127","610.5011460781097","610.5011460781097","610.5011460781097","127","127","127"
"128","374.6763594150543","374.6763594150543","374.6763594150543","128","128","128"
"129","148.706378698349","148.706378698349","148.706378698349","129","129","129"
"130","152.44295620918274","152.44295620918274","152.44295620918274","130","130","130"
"131","166.59688806533813","166.59688806533813","166.59688806533813","131","131","131"
"132","508.38603591918945","508.38603591918945","508.38603591918945","132","132","132"
"133","140.98351430892944","140.98351430892944","140.98351430892944","133","133","133"
"134","403.2087469100952","403.2087469100952","403.2087469100952","134","134","134"
"135","204.82422375679016","204.82422375679016","204.82422375679016","135","135","135"
"136","358.07668566703796","358.07668566703796","358.07668566703796","136","136","136"
"137","557.7703471183777","557.7703471183777","557.7703471183777","137","137","137"
"138","120.94423961639404","120.94423961639404","120.94423961639404","138","138","138"
"139","4423.865906715393","4423.865906715393","4423.865906715393","139","139","139"
