game_no,success,actions_taken,runtime_seconds,cumulative_success_rate,avg_actions_per_successful_game
1,1,11,364.500494480133,1,11
2,1,13,358.311439990997,1,12
3,1,10,248.594507932663,1,11.333333333333334
4,1,5,167.587707996368,1,9.75
5,1,24,590.27327132225,1,12.6
6,1,38,1377.58284783363,1,16.833333333333332
7,1,28,698.919996261597,1,18.428571428571427
8,1,7,200.893469572067,1,17
9,1,9,229.887694597244,1,16.111111111111111
10,0,30,5420.89700818062,0.90000000000000002,16.111111111111111
11,1,8,254.733243227005,0.90909090909090906,15.300000000000001
12,1,45,1777.54964375496,0.91666666666666663,18
13,1,13,357.213988780975,0.92307692307692313,17.583333333333332
14,1,5,180.88920044899,0.9285714285714286,16.615384615384617
15,1,14,442.30308842659,0.93333333333333335,16.428571428571427
16,1,12,351.882081508636,0.9375,16.133333333333333
17,1,36,1540.29353904724,0.94117647058823528,17.375
18,1,9,228.152173995972,0.94444444444444442,16.882352941176471
19,1,19,873.18915104866,0.94736842105263153,17
20,1,7,232.728567838669,0.94999999999999996,16.473684210526315
21,1,21,735.741678714752,0.95238095238095233,16.699999999999999
22,1,10,319.747771024704,0.95454545454545459,16.38095238095238
23,1,20,606.14498090744,0.95652173913043481,16.545454545454547
24,1,6,177.098045349121,0.95833333333333337,16.086956521739129
25,1,26,843.898215055466,0.95999999999999996,16.5
26,1,32,1003.62340927124,0.96153846153846156,17.120000000000001
27,1,29,804.593370914459,0.96296296296296291,17.576923076923077
28,1,4,119.439018964767,0.9642857142857143,17.074074074074073
29,0,60,5284.02013206482,0.93103448275862066,17.074074074074073
30,1,16,428.277800559998,0.93333333333333335,17.035714285714285
31,1,9,265.008847475052,0.93548387096774188,16.758620689655171
32,1,42,1507.94590711594,0.9375,17.600000000000001
33,1,9,218.824949979782,0.93939393939393945,17.322580645161292
34,1,22,609.741766691208,0.94117647058823528,17.46875
35,0,60,4998.99841046333,0.91428571428571426,17.46875
36,1,5,170.913378715515,0.91666666666666663,17.09090909090909
37,1,19,593.013313770294,0.91891891891891897,17.147058823529413
38,1,22,691.310336112976,0.92105263157894735,17.285714285714285
39,1,8,261.132217645645,0.92307692307692313,17.027777777777779
40,1,19,505.599060058594,0.92500000000000004,17.081081081081081
41,1,8,245.022483110428,0.92682926829268297,16.842105263157894
42,1,4,132.081095695496,0.9285714285714286,16.512820512820515
43,1,10,259.090334177017,0.93023255813953487,16.350000000000001
44,1,34,1335.28629517555,0.93181818181818177,16.780487804878049
45,1,8,210.901812791824,0.93333333333333335,16.571428571428573
46,1,29,683.918921470642,0.93478260869565222,16.86046511627907
47,1,10,209.005129814148,0.93617021276595747,16.704545454545453
48,1,11,207.337759971619,0.9375,16.577777777777779
49,1,19,390.181565761566,0.93877551020408168,16.630434782608695
50,1,11,237.153534173965,0.93999999999999995,16.51063829787234
51,1,8,168.580552339554,0.94117647058823528,16.333333333333332
52,0,60,2364.79056572914,0.92307692307692313,16.333333333333332
