"Step","golden-pyramid-593 - success_rate","golden-pyramid-593 - success_rate__MIN","golden-pyramid-593 - success_rate__MAX"
"1","1","1","1"
"2","1","1","1"
"3","1","1","1"
"4","1","1","1"
"5","1","1","1"
"6","1","1","1"
"7","1","1","1"
"8","1","1","1"
"9","1","1","1"
"10","0.9","0.9","0.9"
"11","0.9090909090909091","0.9090909090909091","0.9090909090909091"
"12","0.9166666666666666","0.9166666666666666","0.9166666666666666"
"13","0.9230769230769231","0.9230769230769231","0.9230769230769231"
"14","0.9285714285714286","0.9285714285714286","0.9285714285714286"
"15","0.9333333333333333","0.9333333333333333","0.9333333333333333"
"16","0.9375","0.9375","0.9375"
"17","0.9411764705882353","0.9411764705882353","0.9411764705882353"
"18","0.9444444444444444","0.9444444444444444","0.9444444444444444"
"19","0.9473684210526315","0.9473684210526315","0.9473684210526315"
"20","0.95","0.95","0.95"
"21","0.9523809523809523","0.9523809523809523","0.9523809523809523"
"22","0.9545454545454546","0.9545454545454546","0.9545454545454546"
"23","0.9565217391304348","0.9565217391304348","0.9565217391304348"
"24","0.9583333333333334","0.9583333333333334","0.9583333333333334"
"25","0.96","0.96","0.96"
"26","0.9615384615384616","0.9615384615384616","0.9615384615384616"
"27","0.9629629629629629","0.9629629629629629","0.9629629629629629"
"28","0.9642857142857143","0.9642857142857143","0.9642857142857143"
"29","0.9310344827586207","0.9310344827586207","0.9310344827586207"
"30","0.9333333333333333","0.9333333333333333","0.9333333333333333"
"31","0.9354838709677419","0.9354838709677419","0.9354838709677419"
"32","0.9375","0.9375","0.9375"
"33","0.9393939393939394","0.9393939393939394","0.9393939393939394"
"34","0.9411764705882353","0.9411764705882353","0.9411764705882353"
"35","0.9142857142857143","0.9142857142857143","0.9142857142857143"
"36","0.9166666666666666","0.9166666666666666","0.9166666666666666"
"37","0.918918918918919","0.918918918918919","0.918918918918919"
"38","0.9210526315789473","0.9210526315789473","0.9210526315789473"
"39","0.9230769230769231","0.9230769230769231","0.9230769230769231"
"40","0.925","0.925","0.925"
"41","0.926829268292683","0.926829268292683","0.926829268292683"
"42","0.9285714285714286","0.9285714285714286","0.9285714285714286"
"43","0.9302325581395349","0.9302325581395349","0.9302325581395349"
"44","0.9318181818181818","0.9318181818181818","0.9318181818181818"
"45","0.9333333333333333","0.9333333333333333","0.9333333333333333"
"46","0.9347826086956522","0.9347826086956522","0.9347826086956522"
"47","0.9361702127659575","0.9361702127659575","0.9361702127659575"
"48","0.9375","0.9375","0.9375"
"49","0.9387755102040817","0.9387755102040817","0.9387755102040817"
"50","0.94","0.94","0.94"
"51","0.9411764705882353","0.9411764705882353","0.9411764705882353"
"52","0.9230769230769231","0.9230769230769231","0.9230769230769231"
"53","0.9245283018867925","0.9245283018867925","0.9245283018867925"
"54","0.9259259259259259","0.9259259259259259","0.9259259259259259"
"55","0.9272727272727272","0.9272727272727272","0.9272727272727272"
"56","0.9285714285714286","0.9285714285714286","0.9285714285714286"
"57","0.9122807017543859","0.9122807017543859","0.9122807017543859"
"58","0.9137931034482759","0.9137931034482759","0.9137931034482759"
"59","0.9152542372881356","0.9152542372881356","0.9152542372881356"
"60","0.9166666666666666","0.9166666666666666","0.9166666666666666"
"61","0.9180327868852459","0.9180327868852459","0.9180327868852459"
"62","0.9193548387096774","0.9193548387096774","0.9193548387096774"
"63","0.9206349206349206","0.9206349206349206","0.9206349206349206"
"64","0.921875","0.921875","0.921875"
"65","0.9230769230769231","0.9230769230769231","0.9230769230769231"
"66","0.9242424242424242","0.9242424242424242","0.9242424242424242"
"67","0.9253731343283582","0.9253731343283582","0.9253731343283582"
"68","0.9264705882352942","0.9264705882352942","0.9264705882352942"
"69","0.9130434782608695","0.9130434782608695","0.9130434782608695"
"70","0.9142857142857143","0.9142857142857143","0.9142857142857143"
"71","0.9154929577464789","0.9154929577464789","0.9154929577464789"
"72","0.9166666666666666","0.9166666666666666","0.9166666666666666"
"73","0.9178082191780822","0.9178082191780822","0.9178082191780822"
"74","0.918918918918919","0.918918918918919","0.918918918918919"
"75","0.92","0.92","0.92"
"76","0.9210526315789473","0.9210526315789473","0.9210526315789473"
