"Step","golden-pyramid-593 - success_rate","golden-pyramid-593 - success_rate__MIN","golden-pyramid-593 - success_rate__MAX"
"77","0.9090909090909091","0.9090909090909091","0.9090909090909091"
"78","0.9102564102564102","0.9102564102564102","0.9102564102564102"
"79","0.8987341772151899","0.8987341772151899","0.8987341772151899"
"80","0.9","0.9","0.9"
"81","0.9012345679012346","0.9012345679012346","0.9012345679012346"
"82","0.9024390243902439","0.9024390243902439","0.9024390243902439"
"83","0.9036144578313253","0.9036144578313253","0.9036144578313253"
"84","0.9047619047619048","0.9047619047619048","0.9047619047619048"
"85","0.9058823529411765","0.9058823529411765","0.9058823529411765"
"86","0.8953488372093024","0.8953488372093024","0.8953488372093024"
"87","0.896551724137931","0.896551724137931","0.896551724137931"
"88","0.8977272727272727","0.8977272727272727","0.8977272727272727"
"89","0.898876404494382","0.898876404494382","0.898876404494382"
"90","0.9","0.9","0.9"
"91","0.9010989010989011","0.9010989010989011","0.9010989010989011"
"92","0.9021739130434783","0.9021739130434783","0.9021739130434783"
"93","0.8924731182795699","0.8924731182795699","0.8924731182795699"
"94","0.8829787234042553","0.8829787234042553","0.8829787234042553"
"95","0.8842105263157894","0.8842105263157894","0.8842105263157894"
"96","0.8854166666666666","0.8854166666666666","0.8854166666666666"
"97","0.8865979381443299","0.8865979381443299","0.8865979381443299"
"98","0.8877551020408163","0.8877551020408163","0.8877551020408163"
"99","0.8888888888888888","0.8888888888888888","0.8888888888888888"
"100","0.89","0.89","0.89"
"101","0.8910891089108911","0.8910891089108911","0.8910891089108911"
"102","0.8921568627450981","0.8921568627450981","0.8921568627450981"
"103","0.8932038834951457","0.8932038834951457","0.8932038834951457"
"104","0.8942307692307693","0.8942307692307693","0.8942307692307693"
"105","0.8952380952380953","0.8952380952380953","0.8952380952380953"
"106","0.8962264150943396","0.8962264150943396","0.8962264150943396"
"107","0.8878504672897196","0.8878504672897196","0.8878504672897196"
"108","0.8888888888888888","0.8888888888888888","0.8888888888888888"
"109","0.8807339449541285","0.8807339449541285","0.8807339449541285"
"110","0.8818181818181818","0.8818181818181818","0.8818181818181818"
"111","0.8828828828828829","0.8828828828828829","0.8828828828828829"
"112","0.8839285714285714","0.8839285714285714","0.8839285714285714"
"113","0.8849557522123894","0.8849557522123894","0.8849557522123894"
"114","0.8859649122807017","0.8859649122807017","0.8859649122807017"
"115","0.8869565217391304","0.8869565217391304","0.8869565217391304"
"116","0.8879310344827587","0.8879310344827587","0.8879310344827587"
"117","0.8888888888888888","0.8888888888888888","0.8888888888888888"
"118","0.8898305084745762","0.8898305084745762","0.8898305084745762"
"119","0.8907563025210085","0.8907563025210085","0.8907563025210085"
"120","0.8916666666666667","0.8916666666666667","0.8916666666666667"
"121","0.8842975206611571","0.8842975206611571","0.8842975206611571"
"122","0.8852459016393442","0.8852459016393442","0.8852459016393442"
"123","0.8780487804878049","0.8780487804878049","0.8780487804878049"
"124","0.8709677419354839","0.8709677419354839","0.8709677419354839"
"125","0.864","0.864","0.864"
"126","0.8650793650793651","0.8650793650793651","0.8650793650793651"
"127","0.8661417322834646","0.8661417322834646","0.8661417322834646"
"128","0.8671875","0.8671875","0.8671875"
"129","0.8682170542635659","0.8682170542635659","0.8682170542635659"
"130","0.8692307692307693","0.8692307692307693","0.8692307692307693"
"131","0.8702290076335878","0.8702290076335878","0.8702290076335878"
"132","0.8712121212121212","0.8712121212121212","0.8712121212121212"
"133","0.8721804511278195","0.8721804511278195","0.8721804511278195"
"134","0.8731343283582089","0.8731343283582089","0.8731343283582089"
"135","0.8740740740740741","0.8740740740740741","0.8740740740740741"
"136","0.875","0.875","0.875"
"137","0.8759124087591241","0.8759124087591241","0.8759124087591241"
"138","0.8768115942028986","0.8768115942028986","0.8768115942028986"
"139","0.8705035971223022","0.8705035971223022","0.8705035971223022"
